"mainnumber","Price","PromoPrice","Available",
"13654","123200.0000","91000.0000","False",
"16889","62500.0000","53125","False",
"10458","21400.0000","7000.0000","True",
"11517","4100.0000","3485","False",
"13851","1500.0000","1275","False",
"14312","10700.0000","6500.0000","False",
"15125","47500.0000","40375","False",
"16871","199000.0000","169150","False",
"10769","106300.0000","90355","False",
"11828","230700.0000","196095","False",
"12887","1096800.0000","932280","False",
"14509","32400.0000","27540","False",
"10064","549900.0000","467415","False",
"10966","31700.0000","26945","False",
"12025","32100.0000","25500.0000","True",
"13343","10600.0000","9010","False",
"16692","35500.0000","24900.0000","False",
"10147","49700.0000","42245","False",
"11206","74600.0000","63410","False",
"12108","167100.0000","142035","False",
"13768","13800.0000","11730","False",
"14814","10900.0000","9265","False",
"16775","145200.0000","123420","False",
"10344","89300.0000","75905","False",
"11403","919800.0000","781830","False",
"12462","34100.0000","28985","False",
"13965","119900.0000","101915","False",
"14198","19000.0000","13900.0000","False",
"15011","30700.0000","26095","False",
"10655","568900.0000","483565","False",
"11714","78600.0000","66810","False",
"12773","600.0000","600.0000","True",
"13204","60400.0000","51340","True",
"13260","432600.0000","367710","False",
"14162","80000.0000","80000.0000","False",
"14395","8800.0000","7480","False",
"15221","27000.0000","22950","False",
"15322","20100.0000","17085","False",
"11009","8000.0000","6800","False",
"11911","134600.0000","114410","False",
"12970","389300.0000","279900.0000","False",
"13457","293200.0000","199000.0000","False",
"14749","250900.0000","213265","False",
"10489","529300.0000","249000.0000","False",
"11391","74600.0000","63410","False",
"12450","51200.0000","42900.0000","False",
"13882","175000.0000","175000.0000","False",
"14941","79000.0000","67150","False",
"14999","109800.0000","93330","False",
"10686","290300.0000","189000.0000","False",
"11745","296600.0000","189000.0000","False",
"12647","474200.0000","403070","False",
"13235","201700.0000","171445","False",
"14079","97500.0000","30000.0000","False",
"15196","346800.0000","179000.0000","False",
"10997","166300.0000","141355","False",
"12056","68800.0000","58480","False",
"12958","98400.0000","83640","False",
"13374","7200.0000","6120","False",
"14438","43800.0000","37230","False",
"10135","78000.0000","66300","False",
"11194","389300.0000","269000.0000","False",
"12253","219400.0000","135000.0000","False",
"13571","13300.0000","11305","False",
"14635","20000.0000","17000","False",
"14802","30700.0000","26095","False",
"16591","3000.0000","2550","False",
"10375","116900.0000","99365","False",
"11277","28500.0000","24225","False",
"12336","30700.0000","26095","False",
"13996","309000.0000","309000.0000","False",
"14885","159400.0000","135490","False",
"10572","49300.0000","41905","False",
"11631","109100.0000","92735","False",
"12533","177000.0000","150450","False",
"13121","138200.0000","117470","False",
"14193","63000.0000","53550","False",
"10883","56800.0000","44900.0000","True",
"11942","95800.0000","81430","False",
"12844","2200.0000","1700.0000","True",
"13488","35800.0000","30430","False",
"14324","39800.0000","33830","False",
"16452","106300.0000","90355","False",
"16508","2500.0000","2125","False",
"10178","360900.0000","306765","False",
"11080","74600.0000","63410","False",
"12139","141600.0000","120360","False",
"13685","82900.0000","82900.0000","False",
"14521","92500.0000","78625","False",
"10413","85100.0000","72335","False",
"11315","580200.0000","399000.0000","False",
"12374","12900.0000","10965","False",
"13806","169000.0000","169000.0000","False",
