CIDIPR,ITEMPR,PHQTPR,BARCOD,LARTAR,SELPPR
480,8360,1.000,42240334,NIVEA DEO STICK BEAUTY PEARL 40ML,1450.000
480,49497,.000,42300113,NIVEA FACE MOISTURIZING CREME,1850.000
480,53181,.000,42316107,NIVEA HAND CREAM PROT CARE 100ML,1380.000
480,53181,.000,42316107,NIVEA HAND CREAM PROT CARE 100ML,1380.000
480,66510,.000,42355410,NIVEA  CREAM SOFT  YELLOW 50 ML,1080.000
480,66510,.000,42355410,NIVEA  CREAM SOFT  YELLOW 50 ML,1080.000
480,60139,.000,42355441,NIVEA FACE MOISTURIZING CREME 100ML,1850.000
480,60139,.000,42355441,NIVEA FACE MOISTURIZING CREME 100ML,1850.000
480,69961,.000,42370307,SAINT NICOLAS CHOCOLATE 85G,2950.000
480,69961,.000,42370307,SAINT NICOLAS CHOCOLATE 85G,2950.000
480,46570,.000,46000040,NESCAFE 3IN1 KARAMEL SAC 20G,70.000
480,46570,.000,46000040,NESCAFE 3IN1 KARAMEL SAC 20G,70.000
480,5203,247.000,46003553,NUTS ORIGINAL NEW 50GR,210.000
480,5201,.000,46005830,NESQUIK CHOCOLATE BAR DUO 28GR,140.000
480,5200,138.000,46021915,NESQUIK CHOCOLATE BAR 43GR,210.000
480,22919,207.000,46034601,CHUPA CHUPS MAX FUITTA 70PCS,90.000
480,22919,207.000,46034601,CHUPA CHUPS MAX FUITTA 70PCS,90.000
480,22893,31.000,46035134,MENTOS DRAGEE FRUITS 37GR,270.000
480,22893,31.000,46035134,MENTOS DRAGEE FRUITS 37GR,270.000
480,22896,27.000,46040145,MELLER CHOCOLATE DRAGEE 38GR,270.000
480,22896,27.000,46040145,MELLER CHOCOLATE DRAGEE 38GR,270.000
480,22896,27.000,46040145,MELLER CHOCOLATE DRAGEE 38GR,270.000
480,24899,103.000,46047045,MAGGI CHICKEN GOLD BROTH 9GR,30.000
480,24866,114.000,46057570,NESCAFE CLASSIC INST CFE 2GR,60.000
480,22894,34.000,46058065,MENTOS DRAGEE MINT 37GR,270.000
480,22894,34.000,46058065,MENTOS DRAGEE MINT 37GR,270.000
480,36650,474.000,46061959,MAGGI BEEF BROTH 9GR,30.000
480,22920,106.000,46065780,CHUPA CHUPS XXL 1PC,140.000
480,22876,6.000,46070326,MENTOS PURE MINT CH.GUM 100GR,1490.000
480,22876,6.000,46070326,MENTOS PURE MINT CH.GUM 100GR,1490.000
480,24867,349.000,46070609,NESCAFE GOLD INST CFE 2GR,80.000
480,24868,.000,46079770,NESCAFE 3IN1 CLASSIC SAC 16GR,70.000
480,24869,.000,46079787,NESCAFE 3IN1 MILD SAC 16GR,70.000
480,24870,.000,46080011,NESCAFE 3IN1 STRONG PACK 16GR,70.000
480,14580,.000,46082244,VOGUE BLEUE CIGARETTE,690.000
480,14581,25.000,46082275,VOGUE LILAS CIGARETTE,550.000
480,64766,20.000,46085665,DONTABAK COMPACT BLUE,400.000
480,64766,20.000,46085665,DONTABAK COMPACT BLUE,400.000
480,22927,.000,46087690,CH. CH. BIG BABBOL RIO 22.5GR,95.000
480,14569,20.000,46092113,DUNHILL FC WHITE,1000.000
480,14568,41.000,46092144,DUNHILL FC GOLD,1000.000
480,14567,58.000,46092175,DUNHILL FC DARK BLUE,1000.000
480,27234,24.000,46097804,LAIMON FRESH 250ML,330.000
480,27234,24.000,46097804,LAIMON FRESH 250ML,330.000
480,69983,39.000,46103956,SOBRANIE SLIDE BLACKS,800.000
480,57157,34.000,46104243,DONTABAK SUPERSLIMS 5,430.000
480,69984,25.000,46105813,SOBRANIE SLIDE WHITES,800.000
480,13277,521.000,46107084,ECLIPSE ICE FRUIT 13.6GR,180.000
480,22877,5.000,46114709,MENTOS TUTTI-FRUTTI CH.GUM 54GR,1150.000
480,22877,5.000,46114709,MENTOS TUTTI-FRUTTI CH.GUM 54GR,1150.000
480,13271,790.000,46116482,ORBIT BERRIES MIX GUM 13.6GR,160.000
480,14585,.000,46121660,ROTHMANS NANO BLUE,420.000
480,14586,.000,46121677,ROTHMANS NANO SILVER,420.000
480,64768,30.000,46126603,DONTABAK SUPERSLIMS 7,430.000
480,64768,30.000,46126603,DONTABAK SUPERSLIMS 7,430.000
480,14583,38.000,46130662,ROTHMANS DEMI BLUE,450.000
480,14584,28.000,46130679,ROTHMANS DEMI SILVER,450.000
480,22916,142.000,46137470,CHUPA CHUPS EXOTIC TROPIC 1PC,50.000
480,13272,1495.000,46141538,ORBIT WHT BUBBLEMINT GUM 13.6GR,160.000
480,44078,14.000,46143600,REXONA MEN DEO ROLL INVISI B&W 50ML,840.000
480,44078,14.000,46143600,REXONA MEN DEO ROLL INVISI B&W 50ML,840.000
480,44084,9.000,46143617,REXONA MEN STICK  INVISIB B&W 50ML,1150.000
480,44288,23.000,46147110,LAIMON FRESH 500ML,390.000
480,64602,32.000,46149480,WINSTON XS PlUS BLUE,650.000
480,44089,.000,46149886,REXONA DEO STICK POWDER DRY40ML,1150.000
480,44089,.000,46149886,REXONA DEO STICK POWDER DRY40ML,1150.000
480,55967,48.000,46149893,DAVIDOFF WHITE SSL,700.000
480,66363,807.000,46153708,ORBIT WHITE SREATMINT GUM XXL 20.4G,200.000
480,66363,807.000,46153708,ORBIT WHITE SREATMINT GUM XXL 20.4G,200.000
480,65156,796.000,46153715,ORBIT WHITE BUBBLEMINT XXL  20.4G,200.000
480,65156,796.000,46153715,ORBIT WHITE BUBBLEMINT XXL  20.4G,200.000
480,57196,29.000,46156402,CHUPA CHUPS CHOCOLATE BOWL 20G,560.000
480,61093,17.000,46162069,CH. CH. BIG BABBOL BANANA 21G,100.000
480,22928,20.000,46162076,CH. CH. BIG BABBOL SRAW 22.5GR,100.000
480,26880,.000,46162908,ORBIT WHITE CRISTAL MINT 15.6GR,230.000
480,26881,.000,46162915,ORBIT WHITE CRISTAL STRAW 15.6GR,230.000
480,61097,43.000,46168252,FRUIT-TELLA RAINBOW 41GR,270.000
